... .. ... | B-4 06 C40 | ... .. ... | A-4 23 ... | 
... .. ... | ... .. C10 | ... .. ... | A-4 24 ... | 
... .. ... | ... .. C35 | ... .. ... | A-4 25 ... | 
... .. ... | ... .. C10 | ... .. ... | A-4 26 ... | 
... .. ... | ... .. C30 | ... .. ... | A-4 23 ... | 
... .. ... | ... .. C06 | ... .. ... | A-4 24 ... | 
... .. ... | ... .. C25 | ... .. ... | A-4 25 ... | 
... .. ... | ... .. C06 | ... .. ... | A-4 26 ... | 
... .. ... | ... .. C20 | ... .. ... | A-4 23 ... | 
... .. ... | ... .. C04 | ... .. ... | A-4 24 ... | 
... .. ... | ... .. C15 | ... .. ... | A-4 25 ... | 
... .. ... | ... .. C04 | ... .. ... | A-4 26 ... | 
... .. ... | ... .. C10 | ... .. ... | A-4 23 ... | 
... .. ... | ... .. C04 | ... .. ... | A-4 24 ... | 
... .. ... | ... .. C08 | ... .. ... | A-4 25 ... | 
... .. ... | ... .. C02 | ... .. ... | A-4 26 ... | 
A-5 01 ... | ... .. C06 | ... .. ... | A-4 23 ... | 
... .. ... | ... .. C01 | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. C04 | ... .. ... | A-4 25 ... | 
... .. ... | ... .. C00 | ... .. ... | A-4 26 ... | 
A-5 03 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 01 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 03 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 01 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 03 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 01 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
A-5 03 ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
A-5 02 ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 23 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 24 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 25 ... | 
... .. ... | ... .. ... | ... .. ... | A-4 26 ... | 
